Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6
Participant Number,Technique being Evaluated,Please answer each prompt based on your experience: - How mentally demanding was the task?,Please answer each prompt based on your experience: - How physically demanding was the task?,Please answer each prompt based on your experience: - How hurried or rushed was the pace of the task?,Please answer each prompt based on your experience: - How successful were you in accomplishing what you were asked to do?,Please answer each prompt based on your experience: - How hard did you have to work to accomplish your level of performance?,"Please answer each prompt based on your experience: - How insecure, discouraged, irritated, stressed, and annoyed were you?"
2,VR Controllers,1,3,6,6,5,6
2,Eye Tracking + Hand Tracking,6,3,4,2,4,7
2,NeuroGaze,4,4,2,4,3,6
3,Eye Tracking + Hand Tracking,6,5,4,5,5,5
3,VR Controllers,2,3,5,5,7,2
3,NeuroGaze,5,5,2,4,7,6
4,Eye Tracking + Hand Tracking,1,1,1,5,1,2
4,VR Controllers,1,1,1,1,1,1
4,NeuroGaze,5,3,1,5,5,4
5,VR Controllers,1,1,2,5,2,1
5,Eye Tracking + Hand Tracking,1,1,2,6,1,1
5,NeuroGaze,3,1,2,4,3,1
6,VR Controllers,1,1,3,7,1,1
6,Eye Tracking + Hand Tracking,1,1,3,7,1,1
6,NeuroGaze,3,1,2,5,2,2
7,VR Controllers,5,5,3,7,4,3
7,Eye Tracking + Hand Tracking,6,6,5,5,5,2
7,NeuroGaze,4,4,5,6,4,1
8,VR Controllers,3,1,6,6,3,2
8,Eye Tracking + Hand Tracking,4,2,6,6,4,2
8,NeuroGaze,6,1,4,3,6,4
9,VR Controllers,1,1,4,7,1,1
9,Eye Tracking + Hand Tracking,1,1,1,7,1,1
9,NeuroGaze,6,1,1,5,1,1
10,VR Controllers,1,1,2,7,1,1
10,Eye Tracking + Hand Tracking,1,1,2,7,1,1
10,NeuroGaze,2,1,2,6,1,1
1,NeuroGaze,1,1,1,6,3,2
1,Eye Tracking + Hand Tracking,5,4,4,5,3,3
1,VR Controllers,5,7,6,5,6,3
12,NeuroGaze,4,1,2,6,5,2
12,Eye Tracking + Hand Tracking,5,6,6,3,5,2
12,VR Controllers,6,6,6,5,6,4
13,NeuroGaze,1,2,2,5,3,2
13,Eye Tracking + Hand Tracking,7,5,4,4,5,3
13,VR Controllers,5,6,6,6,5,3
14,NeuroGaze,2,4,4,5,4,3
14,Eye Tracking + Hand Tracking,5,5,5,4,5,2
14,VR Controllers,6,5,5,5,5,3
15,NeuroGaze,3,3,2,5,3,1
15,Eye Tracking + Hand Tracking,7,5,4,4,5,3
15,VR Controllers,4,5,3,6,5,1
16,NeuroGaze,4,1,2,5,3,1
16,VR Controllers,5,6,6,6,4,3
16,Eye Tracking + Hand Tracking,4,6,5,3,6,2
11,NeuroGaze,2,4,4,5,3,2
11,Eye Tracking + Hand Tracking,7,5,3,5,4,3
11,VR Controllers,5,5,5,5,4,3
17,NeuroGaze,2,4,4,5,3,2
17,Eye Tracking + Hand Tracking,5,5,3,4,5,3
17,VR Controllers,5,6,4,5,5,3
18,NeuroGaze,2,1,3,6,2,3
18,Eye Tracking + Hand Tracking,3,3,4,4,3,2
18,VR Controllers,4,5,5,5,4,3
19,NeuroGaze,3,4,1,5,3,2
19,Eye Tracking + Hand Tracking,7,5,3,5,4,3
19,VR Controllers,4,5,3,6,5,1
20,NeuroGaze,3,2,2,6,3,2
20,Eye Tracking + Hand Tracking,5,6,3,4,4,2
20,VR Controllers,3,4,6,5,3,2
