Question,Input Device Comparison ,Statistic,p-Value,Significant
Mental,VR Controllers vs. Eye Gaze + Hand Gesture,14,p = 0.026; p < 0.05,Yes
Mental,VR Controllers vs. NeuroGaze,89.5,p = 0.82; p > 0.05,No
Mental,Eye Gaze + Hand Gesture vs. NeuroGaze,57,p = 0.12; p > 0.05,No
Physical,VR Controllers vs. Eye Gaze + Hand Gesture,17,p = 0.89; p > 0.05,No
Physical,VR Controllers vs. NeuroGaze,19,p = 0.02; p < 0.05,Yes
Physical,Eye Gaze + Hand Gesture vs. NeuroGaze,12,p = 0.006; p < 0.05,Yes
Temporal,VR Controllers vs. Eye Gaze + Hand Gesture,11,p = 0.03; p < 0.05,Yes
Temporal,VR Controllers vs. NeuroGaze,6.5,p = 0.001; p < 0.05,Yes
Temporal,Eye Gaze + Hand Gesture vs. NeuroGaze,7,p = 0.002; p < 0.05,Yes
Performance,VR Controllers vs. Eye Gaze + Hand Gesture,16,p = 0.04; p < 0.05,Yes
Performance,VR Controllers vs. NeuroGaze,43,p = 0.1; p > 0.05,No
Performance,Eye Gaze + Hand Gesture vs. NeuroGaze,61.5,p = 0.47; p > 0.05,No
Effort,VR Controllers vs. Eye Gaze + Hand Gesture,23,p = 0.35; p > 0.05,No
Effort,VR Controllers vs. NeuroGaze,35.5,p = 0.16; p > 0.05,No
Effort,Eye Gaze + Hand Gesture vs. NeuroGaze,55,p = 0.49; p > 0.05,No
Frustration,VR Controllers vs. Eye Gaze + Hand Gesture,22,p = 0.57; p > 0.05,No
Frustration,VR Controllers vs. NeuroGaze,38.5,p = 0.97; p > 0.05,No
Frustration,Eye Gaze + Hand Gesture vs. NeuroGaze,54,p = 0.72; p > 0.05,No
