,EG_HG,NG,VRC
1,16.77828837,28.92239667,7.854958663
2,14.48427,28.58906333,7.755428667
3,12.92766,25.46408333,8.170540667
4,20.53632667,30.31586667,10.32539367
5,14.89030667,30.27099667,16.06922333
6,14.35272333,36.75442667,11.57992333
7,14.47834815,24.75442667,7.986861581
8,15.72750959,30.80146,7.577334119
9,14.31201086,39.13479333,8.504751768
10,13.22125667,27.46812667,8.93233
11,16.24240409,23.31482,7.623573129
12,14.20268662,25.78764,8.476198404
13,14.12914834,29.19761333,7.292114992
14,15.0003667,30.78768333,8.248433779
15,15.45548467,24.831576,7.818669587
16,14.22468895,26.48578,8.195007383
17,16.01883363,33.82699536,10.12847842
18,14.70460387,31.24256018,7.92061828
19,14.25878248,33.69339005,13.28018723
20,14.47919434,23.04739069,11.22031389
